Date,Open,High,Low,Close,Adj Close,Volume
1/22/18,177.300003,177.779999,176.600006,177,176.281281,27108600
1/23/18,177.300003,179.440002,176.820007,177.039993,176.321106,32689100
1/24/18,177.25,177.300003,173.199997,174.220001,173.512573,51105100
1/25/18,174.509995,174.949997,170.529999,171.110001,170.415192,41529000
1/26/18,172,172,170.059998,171.509995,170.813568,39143000
1/29/18,170.160004,170.160004,167.070007,167.960007,167.278,50640400
1/30/18,165.529999,167.369995,164.699997,166.970001,166.292007,46048200
1/31/18,166.869995,168.440002,166.5,167.429993,166.750137,32478900
2/1/18,167.169998,168.619995,166.759995,167.779999,167.098724,47230800
2/2/18,166,166.800003,160.100006,160.5,159.848282,86593800
2/5/18,159.100006,163.880005,156,156.490005,155.854568,72738500
2/6/18,154.830002,163.720001,154,163.029999,162.368011,68243800
2/7/18,163.089996,163.399994,159.070007,159.539993,158.892166,51608600
2/8/18,160.289993,161,155.029999,155.149994,154.520004,54390500
2/9/18,157.070007,157.889999,150.240005,156.410004,156.410004,70672600
2/12/18,158.5,163.889999,157.509995,162.710007,162.710007,60819500
2/13/18,161.949997,164.75,161.649994,164.339996,164.339996,32549200
2/14/18,163.039993,167.539993,162.880005,167.369995,167.369995,40644900
2/15/18,169.789993,173.089996,169,172.990005,172.990005,51147200
2/16/18,172.360001,174.820007,171.770004,172.429993,172.429993,39963200
